Country,Continent,Total Case,Total Death,Total Test,Total Vaccination,People Vaccinated,People Fully Vaccinated,Population,Median Age,Life Expectancy,Aged Older 65,Aged Older 70,Cardiovasc Death Rate,Male Smokers,Female Smokers,Diabetes Prevalence,Hospital Beds Per Thousand,Human Development Index,Extreme Poverty,Population Density,Gdp Per Capita
Japan,Asia,33803572,74708,53504941,383303948,104705133,103380343,123951696,48.2,84.6,27.0,18.5,79.4,33.7,11.2,5.7,13.1,0.9,,347.8,39002.2
Lesotho,Africa,34490,706,553,,1014073,938088,2305826,22.2,54.3,4.5,2.6,405.1,53.9,0.4,3.9,,0.5,59.6,73.6,2851.2
Saint Pierre and Miquelon,North America,3426,2,,,,,5885,,81.1,,,,,,,,,,,
Seychelles,Africa,50937,172,,42863,88520,83565,107135,36.2,73.4,8.6,5.6,242.6,35.7,7.1,10.6,3.6,0.8,1.1,208.4,26382.3
Mauritania,Africa,63860,997,45205,24659,2101236,1538089,4736146,20.3,64.9,3.1,1.8,232.3,,,2.4,,0.5,6.0,4.3,3597.6
Niger,Africa,9513,315,1713,,6217508,5454196,26207982,15.1,62.4,2.6,1.4,238.3,15.4,0.1,2.4,0.3,0.4,44.5,17.0,926.0
Mauritius,Africa,306969,1051,,35153,1123773,1088142,1299478,37.4,75.0,10.9,5.9,224.6,40.7,3.2,22.0,3.4,0.8,0.5,623.0,20292.7
Aruba,North America,44253,290,793,114300,90450,84305,106459,41.2,76.3,13.1,7.5,,,,11.6,,,,584.8,35973.8
Zambia,Africa,343995,4058,3412336,2517495,11637730,9213802,20017670,17.7,63.9,2.5,1.5,234.5,24.7,3.1,3.9,2.0,0.6,57.5,23.0,3689.3
United Arab Emirates,Asia,1067030,2349,168522672,20138062,9991089,9792266,9441138,34.0,78.0,1.1,0.5,317.8,37.4,1.2,17.3,1.2,0.9,,112.4,67293.5
Solomon Islands,Oceania,21611,153,,,343821,254352,724272,20.8,73.0,3.5,2.0,459.8,,,18.7,1.4,0.6,25.1,21.8,2205.9
Bahamas,North America,38084,854,43736,9258,174810,166972,409989,34.3,73.9,9.0,5.2,236.0,20.4,3.1,13.2,2.9,0.8,,39.5,27717.8
Singapore,Asia,2474308,1751,14598500,14727002,5160551,5120969,5637022,42.4,83.6,12.9,7.0,92.2,28.3,5.2,11.0,2.4,0.9,,7915.7,85535.4
Jamaica,North America,155026,3551,552068,566027,858355,759118,2827382,31.4,74.5,9.7,6.4,206.5,28.6,5.3,11.3,1.7,0.7,,266.9,8193.6
Afghanistan,Asia,222074,7918,,78275,16770724,16064707,41128772,18.6,64.8,2.6,1.3,597.0,,,9.6,0.5,0.5,,54.4,1804.0
Barbados,North America,107794,593,6351,293273,163846,155036,281646,39.8,79.2,15.0,9.5,170.1,14.5,1.9,13.6,5.8,0.8,,664.5,16978.1
Armenia,Asia,449203,8750,3102267,,1122040,996169,2780472,35.7,75.1,11.2,7.6,341.0,52.1,1.5,7.1,4.2,0.8,1.8,102.9,8787.6
Sao Tome and Principe,Africa,6575,80,4694,,140256,111986,227393,18.7,70.4,2.9,2.2,270.1,,,2.4,2.9,0.6,32.3,212.8,3052.7
Angola,Africa,105384,1934,28136,,15745756,8821410,35588996,16.8,61.2,2.4,1.4,276.0,,,3.9,,0.6,,23.9,5819.5
Guadeloupe,North America,202836,1021,,,,,395762,43.4,82.1,,,,,,,,,,,
Mayotte,Africa,42902,188,,,,,326113,20.1,79.5,,2.4,,,,,,,,,
Tonga,Oceania,16817,12,,,87342,77360,106867,22.3,70.9,5.8,4.0,227.5,44.4,11.8,15.4,2.6,0.7,,150.0,5425.6
Italy,Europe,25870833,190517,224719845,144567889,50900045,47965823,59037472,47.9,83.5,23.0,16.2,113.2,27.8,19.8,4.8,3.2,0.9,2.0,205.9,35220.1
Cook Islands,Oceania,7128,2,,,15112,14728,17032,,76.3,,,,,,,,,,,
Saint Barthelemy,North America,5494,5,,,,,10994,,,,,,,,,,,,,
Honduras,North America,472639,11118,,229026,6596213,5853689,10432858,24.9,75.3,4.7,2.9,240.2,,2.0,7.2,0.7,0.6,16.0,82.8,4541.8
New Caledonia,Oceania,80065,314,,,192375,184816,289959,33.4,77.6,10.0,6.5,,,,23.4,,,,15.3,
Haiti,North America,34241,860,598,41453,521396,350403,11585003,24.3,64.0,4.8,3.0,430.5,23.1,2.9,6.7,0.7,0.5,23.5,398.4,1653.2
Burundi,Africa,53762,15,18945,460,36909,36321,12889583,17.5,61.6,2.6,1.5,293.1,,,6.1,0.8,0.4,71.7,423.1,702.2
Uruguay,South America,1038803,7635,6086630,8992150,3009848,2902480,3422796,35.6,77.9,14.7,10.4,160.7,19.9,14.0,6.9,2.8,0.8,0.1,19.8,20551.4
British Virgin Islands,North America,7305,64,,,19466,18261,31332,,79.1,,,,,,13.7,,,,208.0,
Uganda,Africa,170865,3632,2120320,704976,19488104,13043107,47249588,16.4,63.4,2.2,1.3,213.3,16.7,3.4,2.5,0.5,0.5,41.6,213.8,1697.7
Montenegro,Europe,291851,2827,,608582,292783,284869,627082,39.1,76.9,14.8,9.4,387.3,47.9,44.0,10.1,3.9,0.8,1.0,46.3,16409.3
Cape Verde,Africa,63952,415,284917,7462,356734,308720,593162,25.7,73.0,4.5,3.4,182.2,16.5,2.1,2.4,2.1,0.7,,135.6,6222.6
Netherlands,Europe,8610372,22992,30687346,,12775557,11957652,17564020,43.2,82.3,18.8,11.9,109.4,27.3,24.4,5.3,3.3,0.9,,508.5,48472.5
South Sudan,Africa,18368,138,58902,7489,4262480,4220606,10913172,19.2,57.9,3.4,2.0,280.8,,,10.4,,0.4,,,1569.9
Yemen,Asia,11945,2159,,,1032545,788707,33696612,20.3,66.1,2.9,1.6,495.0,29.2,7.6,5.4,0.7,0.5,18.8,53.5,1479.1
Northern Mariana Islands,Oceania,13935,41,59110,,,,49574,,76.7,,,195.0,,,,,,,119.9,
Taiwan,Asia,,,13021521,51180197,21885289,20772207,23893396,42.2,80.5,,8.4,104.0,,,,,,,,
Liberia,Africa,8091,295,,10089,3903802,3730967,5302690,19.2,64.1,3.1,1.8,272.5,18.1,1.5,2.4,0.8,0.5,38.6,49.1,752.8
Turkmenistan,Asia,0,0,,,3359468,3358426,6430777,26.9,68.2,4.3,2.5,536.8,,,7.1,7.4,0.7,,12.3,16389.0
North America,,124341283,1604733,,1148709999,458334456,394366283,600323657,,,,,,,,,,,,,
Cote d'Ivoire,Africa,88331,835,1210395,2278710,13568372,12164304,28160548,18.7,57.8,2.9,1.6,303.7,,,2.4,,0.5,28.2,76.4,3601.0
Syria,Asia,57423,3163,,102423,3295630,2358365,22125242,21.7,72.7,,2.6,376.3,,,,1.5,0.6,,,
Indonesia,Asia,6809134,161804,51528978,330544770,203845350,174893201,275501344,29.3,71.7,5.3,3.1,342.9,76.1,2.8,6.3,1.0,0.7,5.7,145.7,11188.7
Tajikistan,Asia,17786,125,,124745,5311967,5170582,9952789,23.3,71.1,3.5,2.2,427.7,,,7.1,4.8,0.7,4.8,64.3,2896.9
Brunei,Asia,307686,161,581,259735,451032,446630,449002,32.4,75.9,4.6,2.4,201.3,30.9,2.0,12.8,2.7,0.8,,81.3,71809.3
Marshall Islands,Oceania,16081,17,3184,,,,41593,,73.7,,,557.8,,,30.5,2.7,0.7,,295.2,3819.2
Low income,,2305342,47945,,298935854,222742325,190134125,737604900,,,,,,,,,,,,,
Democratic Republic of Congo,Africa,96890,1467,,42303,15388889,12873681,99010216,17.0,60.7,3.0,1.7,318.9,,,6.1,,0.5,77.1,35.9,808.1
Guinea-Bissau,Africa,9614,177,390,1658,733271,533741,2105580,19.4,58.3,3.0,1.6,382.5,,,2.4,,0.5,67.1,66.2,1548.7
Trinidad and Tobago,North America,191496,4390,666279,1512567,753588,716898,1531043,36.2,73.5,10.0,5.8,228.5,,,11.0,3.0,0.8,,266.9,28763.1
Albania,Europe,334090,3604,1613870,1417691,1348396,1277987,2842318,38.0,78.6,13.2,8.6,304.2,51.2,7.1,10.1,2.9,0.8,1.1,104.9,11803.4
Pakistan,Asia,1580631,30656,21077138,132235516,165551403,140451320,235824864,23.5,67.3,4.5,2.8,423.0,36.7,2.8,8.4,0.6,0.6,4.0,255.6,5034.7
Africa,,13093165,258964,,806644939,525432773,436764160,1426736614,,,,,,,,,,,,,
Belize,North America,70830,689,2924,119978,258473,221402,405285,25.0,74.6,3.9,2.3,177.0,,,17.1,1.3,0.7,,16.4,7824.4
Western Sahara,Africa,,,,,,,576005,28.4,70.3,,1.4,,,,,,,,,
Wallis and Futuna,Oceania,3550,8,,,7150,6803,11596,,79.9,,,,,,,,,,,
Chad,Africa,7698,194,,,6254729,6127422,17723312,16.7,54.2,2.5,1.4,281.0,,,6.1,,0.4,38.4,11.8,1768.2
Maldives,Asia,186680,316,2211113,772572,399308,385167,523798,30.6,78.9,4.1,2.9,164.9,55.0,2.1,9.2,,0.7,,1454.4,15183.6
Slovenia,Europe,1344388,9379,5336373,2980936,1265802,1222225,2119843,44.5,81.3,19.1,12.9,153.5,25.0,20.1,7.3,4.5,0.9,,102.6,31400.8
Spain,Europe,13890555,121416,93162168,62965910,41351234,40739123,47558632,45.5,83.6,19.4,13.8,99.4,31.4,27.4,7.2,3.0,0.9,1.0,93.1,34272.4
Cambodia,Asia,138803,3056,320474,36482941,15288684,14660594,16767851,25.6,69.8,4.4,2.4,270.9,33.7,2.0,4.0,0.8,0.6,,90.7,3645.1
Iceland,Europe,209191,260,1373785,258851,309770,290193,372903,37.3,83.0,14.4,9.2,118.0,15.2,14.3,5.3,2.9,0.9,0.2,3.4,46483.0
Norway,Europe,1485102,5528,11154564,12119532,4346995,4054726,5434324,39.7,82.4,16.8,10.8,114.3,20.7,19.6,5.3,3.6,1.0,0.2,14.5,64800.1
Sierra Leone,Africa,7762,126,,7981,5252127,4474092,8605723,19.1,54.7,2.5,1.3,325.7,41.3,8.8,2.4,,0.5,52.2,104.7,1390.3
Georgia,Asia,1843707,17087,13652505,1455821,1654504,1276173,3744385,38.7,73.8,14.9,10.2,496.2,55.5,5.3,7.1,2.6,0.8,4.2,65.0,9745.1
Kazakhstan,Asia,1502857,19072,11792426,18655980,10858101,10629063,19397998,30.6,73.6,7.0,4.6,466.8,43.1,7.0,7.1,6.7,0.8,0.1,6.7,24055.6
Moldova,Europe,620574,12118,2560337,1336495,1108735,1078250,3272993,37.6,71.9,10.9,7.0,408.5,44.6,5.9,5.7,5.8,0.8,0.2,123.7,5190.0
Faeroe Islands,Europe,34658,28,7060,34813,41715,40895,53117,,80.7,,,,,,,,,,35.3,
Nepal,Asia,1003355,12031,6402903,15749069,27801458,24379336,30547586,25.0,70.8,5.8,3.2,260.8,37.8,9.5,7.3,0.3,0.6,15.0,204.4,2442.8
Tuvalu,Oceania,2779,0,,,9763,9505,11335,,67.6,,,,,,27.3,,,3.3,373.1,3575.1
Slovakia,Europe,1866857,21167,51238482,,2595901,2577827,5643455,41.2,77.5,15.1,9.2,288.0,37.7,23.1,7.3,5.8,0.9,0.7,113.1,30155.2
Gibraltar,Europe,20550,113,514,92234,42175,41465,32677,,79.9,,,,,,,,,,3457.1,
Montserrat,North America,1403,8,,,2104,1952,4413,,74.2,,,,,,,,,,,
North Korea,Asia,0,0,3189,,,,26069416,35.3,72.3,9.5,6.1,321.7,,,4.0,13.2,,,211.7,
Bhutan,Asia,62673,21,1711669,862033,699116,677669,782457,28.6,71.8,4.9,3.0,217.1,,,9.8,1.7,0.7,1.5,21.2,8708.6
Turks and Caicos Islands,North America,6588,38,,,32815,30710,45726,,80.2,,,,,,,,,,37.3,
Colombia,South America,6369024,142765,34044326,50290307,43012174,37019801,51874028,32.2,77.3,7.6,4.3,124.2,13.5,4.7,7.4,1.7,0.8,4.5,44.2,13254.9
Europe,,249636027,2066604,,1381271728,523037344,493310341,744807803,,,,,,,,,,,,,
Timor,Asia,23450,138,9154,7881,884018,799488,1341298,18.0,69.5,3.6,1.9,335.3,78.1,6.3,6.9,5.9,0.6,30.3,87.2,6570.1
Saint Kitts and Nevis,North America,6602,46,15627,6553,33794,27000,47681,,76.2,,,,,,12.8,2.3,0.8,,212.9,24654.4
Dominica,North America,15760,74,4032,6417,32995,30659,72758,,75.0,,,227.4,,,11.6,3.8,0.7,,98.6,9673.4
Egypt,Africa,516023,24830,,2157499,56907319,42337175,110990096,25.3,72.0,5.2,2.9,525.4,50.1,0.2,17.3,1.6,0.7,1.3,98.0,10550.2
Curacao,North America,45818,302,22100,191553,108601,100885,191173,41.7,78.9,16.4,10.1,,,,11.6,,,,362.6,
Bangladesh,Asia,2039911,29457,13820904,140091486,151357597,140583786,171186368,27.5,72.6,5.1,3.3,298.0,44.7,1.0,8.4,0.8,0.6,14.8,1265.0,3524.0
Mozambique,Africa,233417,2243,944051,295812,19939353,19765811,32969520,17.7,60.9,3.2,1.9,329.9,29.1,5.1,3.3,0.7,0.5,62.9,37.7,1136.1
Kiribati,Oceania,5037,24,,,100900,81474,131237,23.2,68.4,3.9,2.2,434.7,58.9,35.9,22.7,1.9,0.6,,143.7,1981.1
Greece,Europe,6086580,37014,48561395,21215471,7935415,7645774,10384972,45.3,82.2,20.4,14.5,175.7,52.0,35.3,4.6,4.2,0.9,1.5,83.5,24574.4
Mexico,North America,7621062,334167,15569464,150702693,97179493,81849962,127504120,29.3,75.1,6.9,4.3,152.8,21.4,6.9,13.1,1.4,0.8,2.5,66.4,17336.5
Nicaragua,North America,15739,245,,0,6260823,6091122,6948395,27.3,74.5,5.4,3.5,137.0,,,11.5,0.9,0.7,3.2,51.7,5321.4
Croatia,Europe,1273871,18266,2726155,3815368,2321629,2251616,4030361,44.0,78.5,19.7,13.1,253.8,39.9,34.3,5.6,5.5,0.9,0.7,73.7,22669.8
Tokelau,Oceania,5,0,,,2203,2203,1893,,81.9,,,,,,,,,,,
Upper middle income,,244019495,2660981,,5415112416,2107094561,1989002964,2525921300,,,,,,,,,,,,,
Kuwait,Asia,665942,2570,7379048,37214,3457104,3345815,4268886,33.7,75.5,2.3,1.1,132.2,37.0,2.7,15.8,2.0,0.8,,232.1,65530.5
