Country,Continent,Total Case,Total Death,Total Test,Total Vaccination,People Vaccinated,People Fully Vaccinated,Population,Median Age,Life Expectancy,Aged Older 65,Aged Older 70,Cardiovasc Death Rate,Male Smokers,Female Smokers,Diabetes Prevalence,Hospital Beds Per Thousand,Human Development Index,Extreme Poverty,Population Density,Gdp Per Capita
South Korea,Asia,31782676,34822,100269452,129580486,44784499,44372679,51815808,43.4,83.0,13.9,8.6,86.0,40.9,6.2,6.8,12.3,0.9,0.2,528.0,35938.4
Pitcairn,Oceania,4,0,,,47,47,47,,,,,,,,,,,,,
Wales,Europe,,,,8489386,2592226,2477109,3170000,,,,,,,,,,,,,
El Salvador,North America,201785,4230,1921625,4964236,4652597,4344286,6336393,27.6,73.3,8.3,5.4,167.3,18.8,2.5,8.9,1.3,0.7,2.2,307.8,7292.5
Asia,,297817231,1633194,,9029963410,3677369479,3447881175,4721383370,,,,,,,,,,,,,
Ghana,Africa,171653,1462,1325017,180950,13221421,10170298,33475870,21.1,64.1,3.4,1.9,298.2,7.7,0.3,5.0,0.9,0.6,12.0,126.7,4227.6
Vatican,Europe,26,0,,,,,808,,75.1,,,,,,,,,,,
Cuba,North America,1114309,8530,5296244,38014338,10754628,10020270,11212198,43.1,78.8,14.7,9.7,191.0,53.3,17.1,8.3,5.2,0.8,,110.4,
Ethiopia,Africa,500906,7574,3585129,23047615,44073766,37637944,123379928,19.8,66.6,3.5,2.1,182.6,8.5,0.4,7.5,0.3,0.5,26.7,105.0,1729.9
Monaco,Europe,16804,67,,,28875,25667,36491,,86.8,,,,,,5.5,13.8,,,19347.5,
China,Asia,99284626,121236,,3407595000,1310292000,1276760000,1425887360,38.7,76.9,10.6,5.9,261.9,48.4,1.9,9.7,4.3,0.8,0.7,147.7,15308.7
Lithuania,Europe,1320757,9687,8718186,4537134,1957161,1880543,2750058,43.5,75.9,19.0,13.8,343.0,38.0,21.3,3.7,6.6,0.9,0.7,45.1,29524.3
Morocco,Africa,1274180,16297,10487705,27409359,25020168,23521989,37457976,29.6,76.7,6.8,4.2,419.1,47.1,0.8,7.1,1.1,0.7,1.0,80.1,7485.0
Hungary,Europe,2202887,48789,10943720,8276404,6420813,6207249,9967304,43.4,76.9,18.6,12.0,278.3,34.8,26.8,7.6,7.0,0.9,0.5,108.0,26777.6
Senegal,Africa,88999,1971,1102099,330137,2684696,1442833,17316452,18.7,67.9,3.0,1.8,241.2,16.6,0.4,2.4,,0.5,38.0,82.3,2470.6
North Macedonia,Europe,348276,9677,799331,925842,854570,838181,2093606,39.1,75.8,13.3,8.2,322.7,,,10.1,4.3,0.8,5.0,82.6,13111.2
Ireland,Europe,1712654,8979,12340856,11069085,4108360,4062731,5023108,38.7,82.3,13.9,8.7,126.5,25.7,23.0,3.3,3.0,1.0,0.2,69.9,67335.3
Lower middle income,,97628597,1343299,,4880941668,2259784518,2028645978,3432097300,,,,,,,,,,,,,
Suriname,South America,82513,1405,84184,343344,267820,237879,618046,29.6,71.7,6.9,4.2,258.3,42.9,7.4,12.5,3.1,0.7,,3.6,13767.1
World,,767776899,6947609,,13406592429,5588493062,5137154738,7975105024,30.9,72.6,8.7,5.4,233.1,34.6,6.4,8.5,2.7,0.7,10.0,58.0,15469.2
Guernsey,Europe,35326,67,,15931,54223,52710,63329,,,,,,,,,,,,,
Reunion,Africa,494595,925,,,,,974062,36.0,80.5,,6.8,,,,,,,,,
Anguilla,North America,3904,12,,1421,10854,10380,15877,,81.9,,,,,,,,,,,
San Marino,Europe,24298,125,,20141,26357,23633,33690,,85.0,,,,,,5.6,3.8,,,556.7,56861.5
Denmark,Europe,3413895,8719,64649913,,4771583,4736323,5882259,42.3,80.9,19.7,12.3,114.8,18.8,19.3,6.4,2.5,0.9,0.2,136.5,46682.5
Laos,Asia,218265,671,1030237,1981593,5888649,5222417,7529477,24.4,67.9,4.0,2.3,368.1,51.2,7.3,4.0,1.5,0.6,22.7,29.7,6397.4
Sudan,Africa,63993,5046,,45572,15207452,13416394,46874200,19.7,65.3,3.5,2.0,431.4,,,15.7,0.8,0.5,,23.3,4466.5
Nauru,Oceania,5393,1,,168,13106,11346,12691,,60.0,,,,36.9,43.0,24.1,5.0,,,682.5,12895.6
Myanmar,Asia,639309,19494,4656460,3800,34777314,27545329,54179312,29.1,67.1,5.7,3.1,202.1,35.2,6.3,4.6,0.9,0.6,6.4,81.7,5591.6
Botswana,Africa,329938,2797,19426,10435,1951054,1663490,2630300,25.8,69.6,3.9,2.2,237.4,34.4,5.7,4.8,1.8,0.7,,4.0,15807.4
Eritrea,Africa,10189,103,,,,,3684041,19.3,66.3,3.6,2.2,311.1,11.4,0.2,6.1,0.7,0.5,,44.3,1510.5
Bonaire Sint Eustatius and Saba,North America,11921,42,,,19109,16736,27052,,77.8,,,,,,,,,,,
Dominican Republic,North America,661176,4384,1524332,14029086,7322815,6095810,11228821,27.6,74.1,7.0,4.4,266.7,19.1,8.5,8.2,1.6,0.8,1.6,222.9,14600.9
Kenya,Africa,343312,5688,610432,11113785,14494372,11090440,54027484,20.0,66.7,2.7,1.5,218.6,20.4,1.2,2.9,1.4,0.6,36.8,87.3,2993.0
Equatorial Guinea,Africa,17130,183,17420,639,270109,214032,1674916,22.4,58.7,2.8,1.8,202.8,,,7.8,2.1,0.6,,45.2,22604.9
Liechtenstein,Europe,21470,87,90632,59493,26771,,39355,,82.5,,,,,,7.8,2.4,0.9,,237.0,
Panama,North America,1040230,8625,5650767,258113,3533477,3174155,4408582,29.7,78.5,7.9,5.0,128.3,9.9,2.4,8.3,2.3,0.8,2.2,55.1,22267.0
Antigua and Barbuda,North America,9114,146,,8412,64290,62384,93772,32.1,77.0,6.9,4.6,191.5,,,13.2,3.8,0.8,,231.8,21490.9
Northern Ireland,Europe,,,,4384058,1430684,1360953,1896000,,,,,,,,,,,,,
Peru,South America,4507363,220673,,89723713,30498074,28662905,34049588,29.1,76.7,7.2,4.5,85.8,,4.8,6.0,1.6,0.8,3.5,25.1,12236.7
Czechia,Europe,4642281,42804,54587458,18622895,6976624,6893310,10493990,43.3,79.4,19.0,11.6,227.5,38.3,30.5,6.8,6.6,0.9,,137.2,32605.9
Brazil,South America,37601830,702907,37005491,460591607,189643431,176164186,215313504,33.5,75.9,8.6,5.1,178.0,17.9,10.1,8.1,2.2,0.8,3.4,25.0,14103.5
